Year,Month,Monthly_average,De_season_alized,St_dev_mon,Unc_of_mean
2018,9,405.71,409.28,0.45,0.16
2018,10,406.19,409.61,0.32,0.11
2018,11,408.21,410.24,0.56,0.22
2018,12,409.27,410.01,0.5,0.17
2019,1,411.03,410.78,1.26,0.47
2019,2,411.96,411.09,1.14,0.42
2019,3,412.18,410.68,1.12,0.4
2019,4,413.54,410.74,0.6,0.22
2019,5,414.86,411.37,0.5,0.18
2019,6,414.16,411.76,0.36,0.13
2019,7,411.97,411.62,0.82,0.31
2019,8,410.18,412.09,0.33,0.12
2019,9,408.79,412.36,0.35,0.13
2019,10,408.75,412.17,0.31,0.11
2019,11,410.48,412.5,0.4,0.15
2019,12,411.98,412.72,0.4,0.14
2020,1,413.61,413.35,0.73,0.26
2020,2,414.34,413.47,0.69,0.25
2020,3,414.74,413.24,0.33,0.12
2020,4,416.45,413.65,0.65,0.24
2020,5,417.31,413.81,0.61,0.23
2020,6,416.62,414.22,0.45,0.16
2020,7,414.61,414.26,0.57,0.2
2020,8,412.78,414.69,0.25,0.1
2020,9,411.52,415.1,0.31,0.11
2020,10,411.51,414.92,0.22,0.08
2020,11,413.11,415.14,0.8,0.29
2020,12,414.25,415,0.48,0.17
